,7_TCGA_hg19,10_TCGA_hg19,EGFR_hg19,7_TCGA_hg38,10_TCGA_hg38,EGFR_hg38,7_UCSC_hg19,10_UCSC_hg19,EGFR_ucsc
TCGA-02-0003,0.8578856152512998,-0.9957761351636748,2.0,0.8542478565861262,-0.9962825278810409,2.0,0.8394849785407725,-1.0,2.0
TCGA-02-0033,0.9991334488734835,-0.9989440337909187,1.0,0.995323460639127,-0.9897769516728625,1.0,0.9991416309012876,-1.0,1.0
TCGA-02-0047,0.010398613518197574,0.0,0.0,0.0171473109898675,-0.0027881040892193307,0.0,0.0,0.0,0.0
TCGA-02-0055,0.9965337954939342,-0.9936642027455121,1.0,0.9968823070927514,-0.9981412639405205,1.0,1.0,-1.0,1.0
TCGA-02-2470,0.9991334488734835,-0.006335797254487857,1.0,0.9992205767731879,-0.0009293680297397769,1.0,0.9991416309012876,0.0,1.0
TCGA-02-2483,0.06932409012131716,-0.9545934530095037,0.0,0.20265003897116135,-0.9488847583643123,0.0,0.0,-0.9675785207700102,0.0
TCGA-02-2485,0.9991334488734835,-1.0,2.0,0.9984411535463756,-1.0,2.0,0.9974248927038627,-1.0,2.0
TCGA-02-2486,0.9974003466204506,-0.9989440337909187,2.0,1.0,-1.0,2.0,0.9991416309012876,-1.0,1.0
TCGA-06-0119,0.9956672443674177,-0.9989440337909187,1.0,0.9976617303195635,-0.9860594795539034,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-0122,0.3596187175043328,-1.0,2.0,0.37957911145752143,-1.0,2.0,0.35536480686695276,-1.0,2.0
TCGA-06-0124,0.9965337954939342,-1.0,2.0,0.9992205767731879,-1.0,2.0,0.9991416309012876,-1.0,2.0
TCGA-06-0125,0.9982668977469671,-0.8711721224920802,2.0,1.0,-0.8559479553903345,2.0,0.9991416309012876,-0.8591691995947315,2.0
TCGA-06-0126,0.9913344887348353,-0.9989440337909187,2.0,0.9922057677318784,-0.9990706319702602,2.0,0.9896995708154507,-1.0,2.0
TCGA-06-0128,0.8639514731369151,-0.9746568109820486,1.0,1.0,-0.9814126394052045,1.0,1.0,-0.9868287740628167,1.0
TCGA-06-0129,0.006932409012131715,-0.7888067581837381,0.0,0.034294621979735,-0.6384758364312267,0.0,0.0,-0.6261398176291794,0.0
TCGA-06-0130,0.9982668977469671,-1.0,1.0,0.9976617303195635,-1.0,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-0132,0.987001733102253,-0.989440337909187,2.0,0.9968823070927514,-0.9944237918215614,2.0,0.9991416309012876,-1.0,2.0
TCGA-06-0137,0.9228769497400346,-0.9989440337909187,2.0,0.9259547934528449,-0.9990706319702602,2.0,0.9201716738197425,-1.0,2.0
TCGA-06-0139,0.2027729636048527,-0.8859556494192186,0.0,0.2034294621979735,-0.8894052044609665,0.0,0.9991416309012876,-0.9432624113475178,1.0
TCGA-06-0140,0.9991334488734835,-1.0,1.0,0.9992205767731879,-0.9907063197026023,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-0141,1.0,-0.9883843717001056,1.0,0.9976617303195635,-0.9925650557620818,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-0142,0.2045060658578856,-0.6642027455121436,2.0,0.2034294621979735,-0.1171003717472119,2.0,0.015450643776824034,0.0,2.0
TCGA-06-0145,0.9948006932409013,-0.9989440337909187,2.0,1.0,-0.9990706319702602,2.0,0.9991416309012876,-1.0,2.0
TCGA-06-0151,1.0,-0.9989440337909187,1.0,1.0,-0.9990706319702602,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-0152,0.9679376083188909,-0.996832101372756,2.0,0.9680436477007015,-0.9953531598513011,2.0,0.9622317596566523,-1.0,2.0
TCGA-06-0154,0.6793760831889082,-0.9746568109820486,2.0,0.6648480124707716,-0.9646840148698885,2.0,0.6755364806866953,-0.9716312056737588,2.0
TCGA-06-0155,0.9826689774696707,-1.0,2.0,0.9820732657833203,-0.9981412639405205,2.0,0.9819742489270387,-1.0,2.0
TCGA-06-0157,0.9982668977469671,-0.9978880675818373,2.0,1.0,-0.9962825278810409,2.0,0.9991416309012876,-0.9959473150962512,2.0
TCGA-06-0158,0.27642980935875217,-1.0,2.0,0.2720187061574435,-1.0,2.0,0.2669527896995708,-1.0,2.0
TCGA-06-0165,0.0025996533795493936,-0.0010559662090813093,0.0,0.003897116134060795,-0.0027881040892193307,0.0,0.0,0.0,0.0
TCGA-06-0166,0.9930675909878682,-1.0,1.0,0.9773967264224473,-0.9953531598513011,2.0,0.9991416309012876,-1.0,1.0
TCGA-06-0168,0.9922010398613518,-0.9989440337909187,1.0,0.9984411535463756,-0.9953531598513011,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-0169,0.9662045060658578,-0.9978880675818373,2.0,0.9672642244738893,-0.9981412639405205,2.0,0.9682403433476395,-1.0,2.0
TCGA-06-0171,0.9982668977469671,-1.0,1.0,0.9984411535463756,-1.0,1.0,0.9982832618025751,-1.0,1.0
TCGA-06-0173,1.0,-1.0,2.0,1.0,-1.0,2.0,0.9991416309012876,-1.0,2.0
TCGA-06-0174,0.9930675909878682,-1.0,1.0,0.995323460639127,-1.0,2.0,0.9991416309012876,-1.0,2.0
TCGA-06-0184,0.5909878682842288,-0.9989440337909187,1.0,0.5580670303975058,-1.0,1.0,0.5313304721030043,-1.0,2.0
TCGA-06-0185,1.0,-0.996832101372756,2.0,1.0,-1.0,2.0,0.9991416309012876,-1.0,2.0
TCGA-06-0187,0.6785095320623917,-1.0,2.0,0.6703039750584567,-1.0,2.0,0.6815450643776824,-1.0,2.0
TCGA-06-0188,0.9982668977469671,-1.0,1.0,0.9992205767731879,-1.0,1.0,1.0,-1.0,1.0
TCGA-06-0189,0.9974003466204506,-0.9820485744456178,1.0,0.9898674980514419,-0.9795539033457249,2.0,0.9991416309012876,-1.0,2.0
TCGA-06-0190,0.9930675909878682,-0.996832101372756,1.0,1.0,-1.0,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-0192,0.9982668977469671,-1.0,1.0,0.9992205767731879,-1.0,2.0,1.0,-1.0,1.0
TCGA-06-0195,1.0,-0.9978880675818373,1.0,1.0,-0.9981412639405205,1.0,0.9991416309012876,-0.9979736575481256,1.0
TCGA-06-0209,0.9991334488734835,-1.0,2.0,0.9992205767731879,-1.0,2.0,0.9991416309012876,-1.0,2.0
TCGA-06-0210,1.0,-1.0,1.0,0.9961028838659393,-1.0,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-0211,0.9913344887348353,-1.0,2.0,0.9898674980514419,-1.0,2.0,0.992274678111588,-1.0,2.0
TCGA-06-0213,0.9982668977469671,-0.4498416050686378,2.0,1.0,-0.44609665427509293,1.0,0.9991416309012876,-0.45288753799392095,1.0
TCGA-06-0214,0.9982668977469671,-0.989440337909187,2.0,1.0,-0.9888475836431226,2.0,0.9991416309012876,-0.9888551165146909,2.0
TCGA-06-0216,0.9982668977469671,-0.996832101372756,2.0,1.0,-0.9981412639405205,2.0,0.9991416309012876,-1.0,2.0
TCGA-06-0219,0.004332755632582322,-0.9989440337909187,2.0,0.007014809041309431,-0.9981412639405205,2.0,0.005150214592274678,-1.0,2.0
TCGA-06-0221,0.42114384748700173,-0.6240760295670539,-1.0,0.4193296960249415,-0.5325278810408922,0.0,0.4257510729613734,-1.0,-1.0
TCGA-06-0237,0.9948006932409013,-0.9978880675818373,2.0,0.9984411535463756,-0.9981412639405205,2.0,0.9991416309012876,-0.9979736575481256,2.0
TCGA-06-0238,0.9965337954939342,-0.9915522703273495,1.0,0.9968823070927514,-0.9934944237918215,1.0,0.9991416309012876,-0.9929078014184397,1.0
TCGA-06-0240,0.0805892547660312,0.0,2.0,0.017926734216679657,-0.020446096654275093,2.0,0.0034334763948497852,0.0,2.0
TCGA-06-0241,0.9766031195840554,-1.0,1.0,0.9742790335151987,-1.0,1.0,0.9742489270386266,-1.0,1.0
TCGA-06-0644,1.0,-1.0,1.0,0.9968823070927514,-1.0,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-0645,0.9939341421143848,-0.9746568109820486,2.0,0.9961028838659393,-0.9786245353159851,2.0,0.9991416309012876,-0.9787234042553191,2.0
TCGA-06-0646,0.9974003466204506,-1.0,2.0,0.9992205767731879,-0.9990706319702602,2.0,0.9991416309012876,-1.0,2.0
TCGA-06-0648,0.9982668977469671,-1.0,1.0,1.0,-1.0,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-0649,0.9913344887348353,-1.0,1.0,0.9883086515978177,-0.9990706319702602,1.0,0.9905579399141631,-1.0,1.0
TCGA-06-0650,0.9896013864818024,-0.9978880675818373,2.0,0.9890880748246298,-1.0,2.0,0.9991416309012876,-1.0,2.0
TCGA-06-0686,0.9991334488734835,-0.9989440337909187,2.0,1.0,-0.9981412639405205,2.0,1.0,-1.0,2.0
TCGA-06-0743,0.9982668977469671,-0.9989440337909187,2.0,1.0,-0.9972118959107806,2.0,0.9991416309012876,-1.0,2.0
TCGA-06-0744,0.9991334488734835,-1.0,2.0,0.9992205767731879,-1.0,2.0,0.9991416309012876,-1.0,2.0
TCGA-06-0745,0.9991334488734835,-0.9957761351636748,2.0,0.9992205767731879,-0.9990706319702602,2.0,0.9991416309012876,-1.0,2.0
TCGA-06-0747,0.6481802426343154,-1.0,2.0,0.6500389711613406,-1.0,2.0,0.6652360515021459,-1.0,2.0
TCGA-06-0749,0.9731369150779896,-0.9957761351636748,1.0,0.9742790335151987,-0.9934944237918215,1.0,0.9708154506437768,-1.0,1.0
TCGA-06-0750,1.0,-0.9915522703273495,2.0,0.9992205767731879,-0.9953531598513011,2.0,0.9991416309012876,-1.0,2.0
TCGA-06-0875,1.0,-1.0,1.0,1.0,-1.0,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-0876,1.0,-0.9978880675818373,2.0,1.0,-0.9990706319702602,2.0,0.9991416309012876,-1.0,2.0
TCGA-06-0877,0.9904679376083189,-0.9989440337909187,2.0,0.995323460639127,-0.9990706319702602,2.0,0.9948497854077253,-1.0,2.0
TCGA-06-0878,0.9991334488734835,-0.9989440337909187,2.0,0.9992205767731879,-0.9962825278810409,2.0,0.9991416309012876,-1.0,2.0
TCGA-06-0879,0.9939341421143848,-0.9926082365364308,1.0,0.9992205767731879,-0.9842007434944238,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-0881,0.9748700173310225,-0.925026399155227,2.0,0.9742790335151987,-0.9386617100371747,2.0,0.9991416309012876,-1.0,2.0
TCGA-06-0882,0.9982668977469671,-0.9915522703273495,1.0,0.9984411535463756,-0.9888475836431226,1.0,0.9991416309012876,-0.9969604863221885,1.0
TCGA-06-0939,0.9991334488734835,-0.9957761351636748,1.0,0.9992205767731879,-0.9981412639405205,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-1804,0.9904679376083189,-1.0,1.0,0.9929851909586905,-1.0,1.0,0.9948497854077253,-1.0,1.0
TCGA-06-1806,0.9991334488734835,-0.014783526927138331,1.0,1.0,-0.0027881040892193307,1.0,0.9991416309012876,0.0,1.0
TCGA-06-2557,0.9913344887348353,-0.989440337909187,2.0,0.995323460639127,-0.9842007434944238,2.0,0.9931330472103004,-1.0,2.0
TCGA-06-2558,0.9974003466204506,-1.0,2.0,1.0,-1.0,2.0,0.9991416309012876,-1.0,2.0
TCGA-06-2559,0.9974003466204506,-0.7676874340021119,2.0,1.0,-0.7490706319702602,2.0,0.9991416309012876,-0.7436676798378926,1.0
TCGA-06-2561,0.9965337954939342,-0.9957761351636748,1.0,0.9976617303195635,-0.9990706319702602,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-2562,0.9982668977469671,-0.9915522703273495,1.0,1.0,-0.9907063197026023,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-2563,0.9965337954939342,-0.8680042238648363,2.0,0.9968823070927514,-0.8671003717472119,2.0,0.9965665236051502,-0.878419452887538,2.0
TCGA-06-2564,1.0,-0.9831045406546991,2.0,1.0,-0.9786245353159851,2.0,0.9991416309012876,-1.0,2.0
TCGA-06-2565,0.05805892547660312,-1.0,2.0,0.06547155105222136,-0.9953531598513011,2.0,0.041201716738197426,-1.0,2.0
TCGA-06-2567,1.0,-0.9957761351636748,1.0,1.0,-0.9962825278810409,2.0,0.9991416309012876,-1.0,1.0
TCGA-06-2569,0.012131715771230503,-0.0010559662090813093,0.0,0.014809041309431021,0.0,0.0,0.004291845493562232,-0.004052684903748734,0.0
TCGA-06-2570,0.0025996533795493936,-0.026399155227032733,0.0,0.000779423226812159,-0.02137546468401487,0.0,0.0,0.0,0.0
TCGA-06-5408,0.9367417677642981,-1.0,2.0,0.9368667186282151,-1.0,2.0,0.9467811158798283,-1.0,2.0
TCGA-06-5410,0.9792027729636048,-0.9947201689545935,1.0,0.9945440374123149,-0.991635687732342,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-5411,0.9965337954939342,-1.0,1.0,1.0,-1.0,2.0,0.9991416309012876,-1.0,1.0
TCGA-06-5412,0.9878682842287695,-0.9936642027455121,1.0,0.9859703819173812,-0.9990706319702602,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-5413,0.9939341421143848,-1.0,2.0,0.9937646141855028,-1.0,2.0,0.992274678111588,-1.0,2.0
TCGA-06-5414,1.0,-0.9936642027455121,2.0,1.0,-0.9925650557620818,2.0,0.9991416309012876,-0.9979736575481256,2.0
TCGA-06-5415,0.9939341421143848,-1.0,2.0,0.995323460639127,-1.0,2.0,0.9974248927038627,-1.0,2.0
TCGA-06-5416,0.0025996533795493936,-0.01583949313621964,0.0,0.001558846453624318,-0.04925650557620818,0.0,0.0,0.0,0.0
TCGA-06-5418,0.9982668977469671,-1.0,1.0,0.9992205767731879,-1.0,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-5856,0.9974003466204506,-1.0,2.0,0.9984411535463756,-1.0,2.0,1.0,-1.0,2.0
TCGA-06-5858,1.0,-0.007391763463569166,1.0,0.9992205767731879,-0.0762081784386617,1.0,0.9991416309012876,0.0,1.0
TCGA-06-5859,0.9904679376083189,-1.0,1.0,0.9992205767731879,-1.0,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-6388,1.0,-1.0,1.0,1.0,-0.9972118959107806,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-6389,0.0,-0.0021119324181626186,0.0,0.00857365549493375,-0.041821561338289966,0.0,0.0008583690987124463,0.0,0.0
TCGA-06-6390,0.9982668977469671,-1.0,1.0,0.9984411535463756,-1.0,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-6391,0.669844020797227,-0.022175290390707498,1.0,0.622759158222915,-0.0055762081784386614,2.0,0.6763948497854078,0.0,2.0
TCGA-06-6693,0.0008665511265164644,-1.0,2.0,0.002338269680436477,-1.0,2.0,0.0017167381974248926,-1.0,2.0
TCGA-06-6694,0.9948006932409013,-0.26504751847940866,1.0,0.9992205767731879,-0.354089219330855,2.0,1.0,-0.19655521783181357,1.0
TCGA-06-6695,0.9913344887348353,-0.9355860612460402,1.0,0.9961028838659393,-0.9265799256505576,1.0,0.9974248927038627,-0.9250253292806484,1.0
TCGA-06-6697,0.9982668977469671,-0.9989440337909187,1.0,1.0,-0.9990706319702602,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-6698,0.9991334488734835,-0.9989440337909187,1.0,0.9992205767731879,-0.9990706319702602,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-6699,0.988734835355286,-0.9989440337909187,2.0,0.995323460639127,-0.9990706319702602,2.0,0.9974248927038627,-0.9989868287740629,2.0
TCGA-06-6700,0.7053726169844021,-0.9989440337909187,2.0,0.7030397505845675,-0.9990706319702602,2.0,0.703862660944206,-1.0,2.0
TCGA-06-6701,0.00779896013864818,0.0,0.0,0.010132501948558068,-0.012081784386617101,0.0,0.0,0.0,0.0
TCGA-06-A5U0,0.0,-0.6884899683210137,0.0,0.0171473109898675,-0.6988847583643123,0.0,0.0,-0.6534954407294833,0.0
TCGA-06-A5U1,0.9939341421143848,-0.989440337909187,1.0,0.9968823070927514,-0.9962825278810409,1.0,0.9974248927038627,-1.0,1.0
TCGA-06-A6S0,0.7998266897746967,-0.8690601900739177,2.0,0.8004676539360873,-0.8531598513011153,2.0,0.8017167381974248,-0.85612968591692,2.0
TCGA-06-A6S1,0.9991334488734835,-0.9989440337909187,2.0,0.9992205767731879,-1.0,2.0,0.9991416309012876,-1.0,1.0
TCGA-06-A7TK,0.9974003466204506,-1.0,1.0,1.0,-1.0,1.0,0.9991416309012876,-1.0,1.0
TCGA-06-A7TL,0.0017331022530329288,-0.6240760295670539,0.0,0.014029618082618862,-0.6087360594795539,0.0,0.0,-0.5876393110435664,0.0
TCGA-08-0386,0.9809358752166378,-0.9926082365364308,2.0,0.9820732657833203,-0.9953531598513011,2.0,0.984549356223176,-1.0,2.0
TCGA-12-0615,0.2244367417677643,-0.9978880675818373,2.0,0.22135619641465315,-0.9981412639405205,2.0,0.20858369098712445,-1.0,2.0
TCGA-12-0616,0.6646447140381283,-1.0,2.0,0.5448168355416991,-1.0,2.0,0.878969957081545,-1.0,2.0
TCGA-12-0618,0.9991334488734835,-1.0,1.0,1.0,-1.0,1.0,0.9991416309012876,-1.0,1.0
TCGA-12-0619,1.0,-0.996832101372756,2.0,1.0,-1.0,2.0,0.9991416309012876,-1.0,2.0
TCGA-12-0688,0.8882149046793761,-0.9989440337909187,2.0,0.8877630553390491,-1.0,2.0,0.8935622317596567,-1.0,2.0
TCGA-12-0692,1.0,-1.0,1.0,1.0,-0.9990706319702602,1.0,0.9991416309012876,-1.0,1.0
TCGA-12-0821,1.0,-1.0,1.0,1.0,-1.0,2.0,0.9991416309012876,-1.0,2.0
TCGA-12-3649,0.8596187175043327,-0.9989440337909187,2.0,0.8558067030397506,-1.0,2.0,0.8583690987124464,-1.0,2.0
TCGA-12-3650,1.0,-0.9926082365364308,2.0,1.0,-0.9934944237918215,2.0,0.9991416309012876,-0.9918946301925026,2.0
TCGA-12-3652,0.2582322357019064,-1.0,2.0,0.31644583008573657,-1.0,2.0,0.2575107296137339,-1.0,2.0
TCGA-12-3653,0.9982668977469671,-0.9957761351636748,2.0,1.0,-0.9962825278810409,2.0,1.0,-0.993920972644377,2.0
TCGA-12-5295,0.6897746967071057,-1.0,2.0,0.6827747466874513,-1.0,2.0,0.6901287553648069,-1.0,2.0
TCGA-12-5299,0.9982668977469671,-0.9799366420274551,2.0,1.0,-0.9823420074349443,2.0,0.9991416309012876,-0.9827760891590679,1.0
TCGA-12-5301,0.7746967071057193,-1.0,1.0,0.7739672642244739,-1.0,1.0,0.7862660944206008,-1.0,1.0
TCGA-14-0736,0.2720970537261698,-0.9989440337909187,2.0,0.2790335151987529,-0.9990706319702602,1.0,0.25836909871244634,-1.0,1.0
TCGA-14-0740,0.0632582322357019,-0.9809926082365364,0.0,0.08261886204208885,-0.9786245353159851,0.0,0.061802575107296136,-0.9827760891590679,0.0
TCGA-14-0781,0.9956672443674177,-0.9989440337909187,1.0,0.995323460639127,-0.9990706319702602,1.0,0.9991416309012876,-1.0,1.0
TCGA-14-0786,0.9956672443674177,-0.9978880675818373,2.0,0.9922057677318784,-1.0,2.0,0.9965665236051502,-1.0,2.0
TCGA-14-0787,0.9974003466204506,-0.9989440337909187,2.0,0.9984411535463756,-1.0,2.0,0.9991416309012876,-1.0,2.0
TCGA-14-0789,0.9991334488734835,-0.9947201689545935,2.0,1.0,-0.9990706319702602,2.0,0.9991416309012876,-1.0,2.0
TCGA-14-0790,0.8717504332755632,-1.0,2.0,0.8815276695245519,-0.9962825278810409,2.0,0.9991416309012876,-1.0,2.0
TCGA-14-0813,1.0,-0.9978880675818373,2.0,1.0,-0.9953531598513011,2.0,0.9991416309012876,-1.0,1.0
TCGA-14-0817,0.7790294627383015,-1.0,2.0,0.7763055339049104,-1.0,2.0,0.7793991416309013,-1.0,2.0
TCGA-14-0862,0.006932409012131715,-1.0,0.0,0.020265003897116135,-0.9962825278810409,0.0,0.0008583690987124463,-1.0,0.0
TCGA-14-0871,1.0,-0.9926082365364308,1.0,1.0,-0.9879182156133829,1.0,1.0,-0.9564336372847011,1.0
TCGA-14-1034,0.9991334488734835,-1.0,1.0,0.9984411535463756,-1.0,1.0,0.9991416309012876,-1.0,1.0
TCGA-14-1043,0.951473136915078,-1.0,2.0,0.9524551831644583,-1.0,2.0,0.9536480686695279,-1.0,2.0
TCGA-14-1395,0.9930675909878682,-1.0,2.0,0.9929851909586905,-1.0,2.0,0.992274678111588,-1.0,2.0
TCGA-14-1450,0.9974003466204506,-0.9978880675818373,1.0,0.9976617303195635,-0.9990706319702602,1.0,0.9991416309012876,-1.0,1.0
TCGA-14-1456,0.47920277296360486,-0.007391763463569166,1.0,0.49493374902572096,-0.004646840148698885,1.0,0.47725321888412015,0.0,1.0
TCGA-14-1823,0.988734835355286,-0.9926082365364308,2.0,0.9984411535463756,-0.9814126394052045,2.0,0.9991416309012876,-1.0,2.0
TCGA-14-1825,0.9038128249566725,-0.996832101372756,1.0,0.9049103663289166,-0.9934944237918215,1.0,0.9072961373390558,-1.0,1.0
TCGA-14-1829,0.9844020797227037,-0.9852164730728616,2.0,0.9859703819173812,-0.991635687732342,2.0,0.984549356223176,-1.0,2.0
TCGA-14-2554,0.9991334488734835,-0.9714889123548046,2.0,0.9992205767731879,-0.9795539033457249,2.0,0.9991416309012876,-0.9888551165146909,2.0
TCGA-14-4157,0.9948006932409013,-0.2840549102428722,1.0,0.9968823070927514,-0.2815985130111524,1.0,0.9991416309012876,-0.24113475177304963,1.0
TCGA-15-0742,0.9956672443674177,-1.0,2.0,0.9976617303195635,-1.0,2.0,0.9991416309012876,-1.0,2.0
TCGA-16-0846,0.9939341421143848,-0.36219640971488914,1.0,0.9984411535463756,-0.5585501858736059,1.0,0.9991416309012876,-0.10638297872340426,1.0
TCGA-16-0848,1.0,-0.9926082365364308,1.0,1.0,-0.9934944237918215,2.0,0.9991416309012876,-0.9949341438703141,1.0
TCGA-16-0861,0.9939341421143848,-0.5332629355860612,2.0,0.990646921278254,-0.5074349442379182,2.0,0.9974248927038627,-0.48632218844984804,2.0
TCGA-16-1045,0.9974003466204506,-1.0,2.0,0.9976617303195635,-1.0,2.0,0.9991416309012876,-1.0,2.0
TCGA-16-1048,0.9896013864818024,-0.9978880675818373,2.0,0.9976617303195635,-0.9990706319702602,2.0,0.9991416309012876,-1.0,2.0
